ModelName,Brand,Type,Price,Power(kwh),Mileage(km)
Hero Lectro C1,Hero,Cycle,"32,999",1.45,30
Hero Lectro C5X,Hero,Cycle,"38,999",1.45,30
Hero Lectro F1,Hero,Cycle,"38,999",1.45,30
Hero Lectro H3,Hero,Cycle,"28,499",1.45,30
Hero Lectro H5,Hero,Cycle,"29,999",1.45,30
Polarity Smart Sport,Polarity,Cycle,"40,000",0.25,80
Polarity Smart Executive,Polarity,Cycle,"38,000",0.25,80
EMotorad X2,EMotorad,Cycle,"27,999",1.95,25
Audi e-tron,Audi,Car,10200000,95,359
Audi e-tron GT,Audi,Car,17000000,93.4,388
Audi RS e-tron GT,Audi,Car,19300000,93.4,401
BMW i4,BMW,Car,19500000,101,590
BMW i7,BMW,Car,12100000,71,372
BMW iX,BMW,Car,11900000,90,200
BYD Atto 3,BYD,Car,15900000,107,857
BYD E6,BYD,Car,15300000,79.2,395
Citroen eC3,Citroen,Car,7390000,83.9,493
Hyundai IONIQ 5,Hyundai,Car,3399000,60.4,521
Hyundai Kona Electric,Hyundai,Car,2915000,71.7,415
Jaguar I-Pace,Jaguar,Car,1150000,29.2,56.2
Kia EV6,Kia,Car,4595000,72.6,631
Mahindra E Verito,Mahindra,Car,2384000,39.2,100
Mahindra XUV400 EV,Mahindra,Car,6095000,77.4,708
Mercedes-Benz EQB,Mercedes-Benz,Car,1267000,41.5,110
Mercedes-Benz EQC,Mercedes-Benz,Car,1048000,34.5,456
Mercedes-Benz EQS,Mercedes-Benz,Car,7450000,66.5,423
MG Comet EV,MG,Car,9950000,80,455
MG ZS EV,MG,Car,798000,17.3,230
Mini Cooper SE,Mini,Car,2338000,50.3,461
PMV EaS E,PMV,Car,5250000,32.6,270
Porsche Taycan,Porsche,Car,479000,13.41,200
Pravaig DEFY,Pravaig,Car,3950000,90,500
Strom Motors R3,Strom,Car,450000,15,200
Tata Nexon EV Max,Tata,Car,1649000,40.5,453
Tata Nexon EV Prime,Tata,Car,1449000,30.2,312
Tata Tiago EV,Tata,Car,869000,19.2,315
Tata Tigor EV,Tata,Car,1249000,26,315
Volvo XC40 Recharge,Volvo,Car,5690000,78,418
