ModelName,Brand,Type,Price,Power(kwh),Mileage(km)
Hero Lectro C5,Hero,Cycle,"30,999.00",0.21,30.00
Hero Lectro C7,Hero,Cycle,"34,999.00",0.23,25.00
Hero Lectro C7+,Hero,Cycle,"34,999.00",0.23,25.00
Hero Lectro C8i,Hero,Cycle,"39,999.00",0.23,25.00
Hero Lectro F3i,Hero,Cycle,"42,999.00",0.23,25.00
Hero Lectro F2I,Hero,Cycle,"39,999.00",0.23,25.00
Hero Lectro C9,Hero,Cycle,"46,999.00",0.31,25.00
Hero Lectro WINN,Hero,Cycle,"44,090.00",0.42,55.00
Hero Lectro WINN-X,Hero,Cycle,"44,419.00",0.42,70.00
Motovolt Kivo 24,Motovolt,Cycle,"29,774.00",30.24,25.00
SVITCH XE,SVITCH,Cycle,"82,250.00",0.56,80.00
Essel Energy GET 1,Essel,Cycle,"37,500.00",0.53,40.00
Essel Energy GET 7,Essel,Cycle,"43,500.00",0.53,70.00
Nexzu Rompus Plus,Nexzu,Cycle,"33,999.00",1.30,32.00
Nexzu Bazinga,Nexzu,Cycle,"46,999.00",0.04,100.00
Nexzu Roadlark,Nexzu,Cycle,"45,999.00",0.05,100.00
Hero Lectro C1,Hero,Cycle,"32,999.00",1.45,30.00
Hero Lectro C5X,Hero,Cycle,"38,999.00",1.45,30.00
Hero Lectro F1,Hero,Cycle,"38,999.00",1.45,30.00
Hero Lectro H3,Hero,Cycle,"28,499.00",1.45,30.00
Hero Lectro H5,Hero,Cycle,"29,999.00",1.45,30.00
Polarity Smart Sport,Polarity,Cycle,"40,000.00",0.25,80.00
Polarity Smart Executive,Polarity,Cycle,"38,000.00",0.25,80.00
EMotorad X2,EMotorad,Cycle,"27,999.00",1.95,25.00
Audi e-tron,Audi,Car,"10,200,000.00",95.00,359.00
Audi e-tron GT,Audi,Car,"17,000,000.00",93.40,388.00
Audi RS e-tron GT,Audi,Car,"19,300,000.00",93.40,401.00
BMW i4,BMW,Car,"19,500,000.00",101.00,590.00
BMW i7,BMW,Car,"12,100,000.00",71.00,372.00
BMW iX,BMW,Car,"11,900,000.00",90.00,200.00
BYD Atto 3,BYD,Car,"15,900,000.00",107.00,857.00
BYD E6,BYD,Car,"15,300,000.00",79.20,395.00
Citroen eC3,Citroen,Car,"7,390,000.00",83.90,493.00
Hyundai IONIQ 5,Hyundai,Car,"3,399,000.00",60.40,521.00
Hyundai Kona Electric,Hyundai,Car,"2,915,000.00",71.70,415.00
Jaguar I-Pace,Jaguar,Car,"1,150,000.00",29.20,56.20
Kia EV6,Kia,Car,"4,595,000.00",72.60,631.00
Mahindra E Verito,Mahindra,Car,"2,384,000.00",39.20,100.00
Mahindra XUV400 EV,Mahindra,Car,"6,095,000.00",77.40,708.00
Mercedes-Benz EQB,Mercedes-Benz,Car,"1,267,000.00",41.50,110.00
Mercedes-Benz EQC,Mercedes-Benz,Car,"1,048,000.00",34.50,456.00
Mercedes-Benz EQS,Mercedes-Benz,Car,"7,450,000.00",66.50,423.00
MG Comet EV,MG,Car,"9,950,000.00",80.00,455.00
MG ZS EV,MG,Car,"798,000.00",17.30,230.00
Mini Cooper SE,Mini,Car,"2,338,000.00",50.30,461.00
PMV EaS E,PMV,Car,"5,250,000.00",32.60,270.00
Porsche Taycan,Porsche,Car,"479,000.00",13.41,200.00
Pravaig DEFY,Pravaig,Car,"3,950,000.00",90.00,500.00
Strom Motors R3,Strom,Car,"450,000.00",15.00,200.00
Tata Nexon EV Max,Tata,Car,"1,649,000.00",40.50,453.00
Tata Nexon EV Prime,Tata,Car,"1,449,000.00",30.20,312.00
Tata Tiago EV,Tata,Car,"869,000.00",19.20,315.00
Tata Tigor EV,Tata,Car,"1,249,000.00",26.00,315.00
Volvo XC40 Recharge,Volvo,Car,"5,690,000.00",78.00,418.00
